Dataset,SSL_Model,Architecture,Accuracy,F1 Score,ROC AUC,Sensitivity (MDD),Specificity (HC),Accuracy_std,F1_std,ROC_AUC_std,Sensitivity_std,Specificity_std
edaic,wavlm-large,Self-Attention,0.782608695652174,0.5454545454545454,0.607843137254902,0.5,0.8823529411764706,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-large,Statistical Pooling,0.7391304347826086,0.5714285714285714,0.6862745098039216,0.6666666666666666,0.7647058823529411,0.0,0.0,0.0,0.0,0.0
edaic,wavlm-large,Transformer Encoder,0.7391304347826086,0.0,0.696078431372549,0.0,1.0,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,Bi-GRU + Attention,0.7391304347826086,0.5,0.7058823529411764,0.5,0.8235294117647058,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,Mean Pooling,0.6956521739130435,0.5333333333333333,0.6274509803921569,0.6666666666666666,0.7058823529411765,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,NetVLAD,0.2608695652173913,0.4137931034482758,0.6274509803921569,1.0,0.0,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,Self-Attention,0.4782608695652174,0.5,0.5980392156862745,1.0,0.2941176470588235,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,Statistical Pooling,0.5652173913043478,0.5454545454545454,0.7450980392156863,1.0,0.4117647058823529,0.0,0.0,0.0,0.0,0.0
edaic,xls-r-1b,Transformer Encoder,0.2608695652173913,0.4137931034482758,0.4509803921568627,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,Bi-GRU + Attention,0.9,0.9090909090909092,0.8400000000000001,1.0,0.8,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,Mean Pooling,0.5,0.6666666666666666,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,NetVLAD,0.6,0.6,0.64,0.6,0.6,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,Self-Attention,0.6,0.6666666666666666,0.52,0.8,0.4,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,Statistical Pooling,0.5,0.6666666666666666,0.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,data2vec-large,Transformer Encoder,0.5,0.6666666666666666,0.32,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,Bi-GRU + Attention,0.9,0.8888888888888888,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,Mean Pooling,0.9,0.8888888888888888,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,NetVLAD,0.9,0.8888888888888888,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,Self-Attention,0.8,0.75,0.72,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,Statistical Pooling,0.8,0.75,0.72,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,hubert-large,Transformer Encoder,0.5,0.6666666666666666,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,Bi-GRU + Attention,0.6,0.7142857142857143,0.52,1.0,0.2,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,Mean Pooling,0.5,0.6666666666666666,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,NetVLAD,0.5,0.0,0.4599999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,Self-Attention,0.5,0.6666666666666666,0.64,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,Statistical Pooling,0.5,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,w2v2-robust,Transformer Encoder,0.5,0.6666666666666666,0.56,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,Bi-GRU + Attention,0.9,0.8888888888888888,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,Mean Pooling,0.8,0.75,0.68,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,NetVLAD,0.8,0.75,0.7600000000000001,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,Self-Attention,0.8,0.75,0.8,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,Statistical Pooling,0.8,0.75,0.72,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-base-plus,Transformer Encoder,0.5,0.6666666666666666,0.36,1.0,0.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-large,Bi-GRU + Attention,0.7,0.6666666666666666,0.56,0.6,0.8,0.0,0.0,0.0,0.0,0.0
modma,wavlm-large,Mean Pooling,0.8,0.75,0.7600000000000001,0.6,1.0,0.0,0.0,0.0,0.0,0.0
modma,wavlm-large,NetVLAD,0.9,0.8888888888888888,0.8,0.8,1.0,0.0,0.0,0.0,0.0,0.0
